time,soi,nino
2000-11-01,22.4,nina
2000-12-01,7.7,nina
2001-01-01,8.4,nina
2001-02-01,11.9,nina
2001-03-01,6.7,nina
2001-04-01,0.3,none
2001-05-01,-9.0,none
2001-06-01,1.8,none
2001-07-01,-3.7,none
2001-08-01,-8.2,none
2001-09-01,1.4,none
2001-10-01,-1.9,none
2001-11-01,7.2,none
2001-12-01,-9.1,nino
2002-01-01,2.7,none
2002-02-01,7.7,none
2002-03-01,-5.2,none
2002-04-01,-3.8,none
2002-05-01,-14.5,nino
2002-06-01,-6.3,nino
2002-07-01,-7.6,nino
2002-08-01,-14.6,nino
2002-09-01,-8.2,nino
2002-10-01,-7.4,nino
2002-11-01,-6.0,none
2002-12-01,-10.6,none
2003-01-01,-2.0,none
2003-02-01,-7.4,nino
2003-03-01,-6.8,nino
2003-04-01,-5.5,none
2003-05-01,-7.4,nino
2003-06-01,-12.0,nino
2003-07-01,2.9,none
2003-08-01,-1.8,none
2003-09-01,-2.2,none
2003-10-01,-1.9,none
2003-11-01,-3.4,none
2003-12-01,9.3,none
2004-01-01,-11.6,nino
2004-02-01,9.1,none
2004-03-01,0.2,none
2004-04-01,-15.4,none
2004-05-01,13.1,nina
2004-06-01,-15.2,nino
2004-07-01,-6.9,nino
2004-08-01,-7.6,nino
2004-09-01,-2.8,none
2004-10-01,-3.7,none
2004-11-01,-8.6,nino
2004-12-01,-8.0,nino
2005-01-01,1.8,none
2005-02-01,-28.6,none
2005-03-01,0.2,none
2005-04-01,-11.2,nino
2005-05-01,-14.5,nino
2005-06-01,2.6,none
2005-07-01,0.9,none
2005-08-01,-6.9,none
2005-09-01,3.9,none
2005-10-01,10.9,none
2005-11-01,-2.0,none
2005-12-01,0.1,none
2006-01-01,12.7,none
2006-02-01,0.1,none
2006-03-01,13.8,nina
2006-04-01,14.4,nina
2006-05-01,-9.8,nino
2006-06-01,-6.3,nino
2006-07-01,-7.6,nino
2006-08-01,-15.9,nino
2006-09-01,-5.8,none
2006-10-01,-16.0,none
2006-11-01,-1.4,none
2006-12-01,-3.5,none
2007-01-01,-7.8,none
2007-02-01,-2.7,none
2007-03-01,-1.4,none
2007-04-01,-3.0,none
2007-05-01,-2.7,none
2007-06-01,5.0,none
2007-07-01,-5.0,none
2007-08-01,2.7,none
2007-09-01,1.4,none
2007-10-01,5.4,none
2007-11-01,9.2,nina
2007-12-01,14.4,nina
2008-01-01,14.1,nina
2008-02-01,21.3,nina
2008-03-01,12.2,nina
2008-04-01,4.5,none
2008-05-01,-3.5,none
2008-06-01,4.2,none
2008-07-01,2.2,none
2008-08-01,9.1,nina
2008-09-01,13.5,nina
2008-10-01,13.4,nina
2008-11-01,17.1,nina
2008-12-01,13.3,nina
2009-01-01,9.4,nina
2009-02-01,14.8,nina
2009-03-01,0.2,none
2009-04-01,8.6,none
2009-05-01,-7.4,nino
2009-06-01,-2.3,none
2009-07-01,1.6,none
2009-08-01,-5.0,none
2009-09-01,3.9,none
2009-10-01,-14.7,none
2009-11-01,-6.0,none
2009-12-01,-7.0,nino
2010-01-01,-10.1,nino
2010-02-01,-14.5,nino
2010-03-01,-10.6,nino
2010-04-01,15.2,nina
2010-05-01,10.0,none
2010-06-01,1.8,none
2010-07-01,20.5,nina
2010-08-01,18.8,nina
2010-09-01,24.9,nina
