lon,lat,event_no,date_start,date_peak,date_end,duration,intensity_mean,intensity_max,intensity_cumulative
146.625,-16.125,76,2016-02-14,2016-03-01,2016-04-02,49,1.379,2.03,67.58
146.625,-16.125,77,2016-05-02,2016-05-04,2016-05-11,10,1.336,1.61,13.36
146.625,-16.125,78,2016-05-27,2016-05-28,2016-05-31,5,1.204,1.47,6.02
146.625,-16.125,79,2016-06-04,2016-06-26,2016-07-28,55,1.353,1.96,74.42
146.625,-16.125,80,2016-09-26,2016-10-03,2016-10-05,10,1.649,2.48,16.49
146.625,-16.125,81,2016-11-07,2016-11-09,2016-11-14,8,1.509,2.21,12.07
146.625,-16.125,82,2017-01-16,2017-01-21,2017-01-29,14,1.255,1.7,17.57
146.625,-16.125,83,2017-02-18,2017-02-21,2017-02-22,5,1.108,1.25,5.54
146.625,-16.125,84,2017-03-18,2017-04-06,2017-04-11,25,1.524,1.99,38.09
146.625,-16.125,85,2017-07-26,2017-07-30,2017-07-31,6,1.08,1.19,6.48
146.625,-16.125,86,2017-10-28,2017-10-30,2017-11-03,7,1.337,1.51,9.36
146.625,-16.125,87,2018-03-28,2018-04-02,2018-04-03,7,0.983,1.07,6.88
146.625,-16.125,88,2018-12-21,2018-12-21,2018-12-29,9,1.621,1.79,14.59
