lon,lat,doy,seas,thresh
146.625,-16.125,168,25.43,26.35
146.625,-16.125,169,25.41,26.33
146.625,-16.125,170,25.38,26.31
146.625,-16.125,171,25.35,26.28
146.625,-16.125,172,25.32,26.26
146.625,-16.125,173,25.3,26.24
146.625,-16.125,174,25.27,26.21
146.625,-16.125,175,25.24,26.19
146.625,-16.125,176,25.21,26.16
146.625,-16.125,177,25.19,26.14
146.625,-16.125,178,25.16,26.11
146.625,-16.125,179,25.14,26.09
146.625,-16.125,180,25.11,26.06
146.625,-16.125,181,25.09,26.04
146.625,-16.125,182,25.07,26.01
146.625,-16.125,183,25.04,25.99
146.625,-16.125,184,25.02,25.97
146.625,-16.125,185,25,25.95
146.625,-16.125,186,24.97,25.93
146.625,-16.125,187,24.95,25.91
146.625,-16.125,188,24.93,25.89
146.625,-16.125,189,24.91,25.87
146.625,-16.125,190,24.89,25.86
146.625,-16.125,191,24.87,25.84
146.625,-16.125,192,24.85,25.82
146.625,-16.125,193,24.83,25.8
146.625,-16.125,194,24.81,25.79
146.625,-16.125,195,24.79,25.77
146.625,-16.125,196,24.78,25.76
146.625,-16.125,197,24.76,25.74
146.625,-16.125,198,24.75,25.72
146.625,-16.125,199,24.73,25.71
146.625,-16.125,200,24.72,25.69
146.625,-16.125,201,24.7,25.67
146.625,-16.125,202,24.69,25.65
146.625,-16.125,203,24.68,25.64
146.625,-16.125,204,24.66,25.62
146.625,-16.125,205,24.65,25.61
146.625,-16.125,206,24.64,25.59
146.625,-16.125,207,24.63,25.58
146.625,-16.125,208,24.62,25.56
146.625,-16.125,209,24.61,25.55
146.625,-16.125,210,24.6,25.54
146.625,-16.125,211,24.59,25.53
146.625,-16.125,212,24.58,25.51
146.625,-16.125,213,24.57,25.5
146.625,-16.125,214,24.56,25.49
146.625,-16.125,215,24.55,25.48
146.625,-16.125,216,24.55,25.47
146.625,-16.125,217,24.54,25.47
146.625,-16.125,218,24.54,25.46
146.625,-16.125,219,24.53,25.45
146.625,-16.125,220,24.53,25.44
146.625,-16.125,221,24.52,25.44
146.625,-16.125,222,24.52,25.43
146.625,-16.125,223,24.52,25.43
146.625,-16.125,224,24.52,25.42
146.625,-16.125,225,24.52,25.42
146.625,-16.125,226,24.52,25.42
146.625,-16.125,227,24.52,25.41
146.625,-16.125,228,24.52,25.41
146.625,-16.125,229,24.52,25.4
146.625,-16.125,230,24.52,25.4
146.625,-16.125,231,24.53,25.41
146.625,-16.125,232,24.53,25.41
146.625,-16.125,233,24.54,25.42
146.625,-16.125,234,24.55,25.43
146.625,-16.125,235,24.56,25.43
146.625,-16.125,236,24.57,25.44
146.625,-16.125,237,24.58,25.45
146.625,-16.125,238,24.59,25.46
146.625,-16.125,239,24.6,25.48
146.625,-16.125,240,24.62,25.49
146.625,-16.125,241,24.63,25.51
146.625,-16.125,242,24.65,25.53
146.625,-16.125,243,24.67,25.56
146.625,-16.125,244,24.68,25.58
146.625,-16.125,245,24.7,25.6
146.625,-16.125,246,24.72,25.63
146.625,-16.125,247,24.74,25.65
146.625,-16.125,248,24.76,25.68
146.625,-16.125,249,24.79,25.7
146.625,-16.125,250,24.81,25.73
146.625,-16.125,251,24.83,25.75
146.625,-16.125,252,24.85,25.77
