lon,lat,doy,seas,thresh
-120.125,34.125,169,14.67,16.16
-120.125,34.125,170,14.73,16.2
-120.125,34.125,171,14.78,16.24
-120.125,34.125,172,14.84,16.29
-120.125,34.125,173,14.9,16.33
-120.125,34.125,174,14.96,16.38
-120.125,34.125,175,15.02,16.44
-120.125,34.125,176,15.08,16.5
-120.125,34.125,177,15.15,16.56
-120.125,34.125,178,15.22,16.63
-120.125,34.125,179,15.28,16.7
-120.125,34.125,180,15.35,16.76
-120.125,34.125,181,15.42,16.83
-120.125,34.125,182,15.48,16.89
-120.125,34.125,183,15.55,16.95
-120.125,34.125,184,15.61,17.01
-120.125,34.125,185,15.66,17.08
-120.125,34.125,186,15.72,17.15
-120.125,34.125,187,15.78,17.22
-120.125,34.125,188,15.83,17.29
-120.125,34.125,189,15.89,17.37
-120.125,34.125,190,15.94,17.44
-120.125,34.125,191,16,17.51
-120.125,34.125,192,16.05,17.58
-120.125,34.125,193,16.1,17.65
-120.125,34.125,194,16.15,17.72
-120.125,34.125,195,16.2,17.79
-120.125,34.125,196,16.26,17.86
-120.125,34.125,197,16.31,17.93
-120.125,34.125,198,16.36,18
-120.125,34.125,199,16.41,18.06
-120.125,34.125,200,16.45,18.12
-120.125,34.125,201,16.5,18.19
-120.125,34.125,202,16.54,18.25
-120.125,34.125,203,16.59,18.31
-120.125,34.125,204,16.63,18.37
-120.125,34.125,205,16.67,18.44
-120.125,34.125,206,16.7,18.49
-120.125,34.125,207,16.73,18.55
-120.125,34.125,208,16.76,18.61
-120.125,34.125,209,16.79,18.66
-120.125,34.125,210,16.81,18.71
-120.125,34.125,211,16.83,18.77
-120.125,34.125,212,16.85,18.82
-120.125,34.125,213,16.87,18.87
-120.125,34.125,214,16.89,18.92
-120.125,34.125,215,16.9,18.96
-120.125,34.125,216,16.92,19.01
-120.125,34.125,217,16.93,19.05
-120.125,34.125,218,16.95,19.07
-120.125,34.125,219,16.96,19.1
-120.125,34.125,220,16.97,19.11
-120.125,34.125,221,16.97,19.12
-120.125,34.125,222,16.98,19.13
-120.125,34.125,223,16.98,19.14
-120.125,34.125,224,16.99,19.14
-120.125,34.125,225,16.99,19.13
-120.125,34.125,226,16.99,19.13
-120.125,34.125,227,17,19.12
-120.125,34.125,228,16.99,19.11
-120.125,34.125,229,16.99,19.09
-120.125,34.125,230,16.99,19.09
-120.125,34.125,231,16.99,19.08
-120.125,34.125,232,16.99,19.08
-120.125,34.125,233,16.99,19.08
-120.125,34.125,234,16.99,19.07
-120.125,34.125,235,16.98,19.07
-120.125,34.125,236,16.98,19.06
-120.125,34.125,237,16.98,19.06
-120.125,34.125,238,16.98,19.06
-120.125,34.125,239,16.98,19.05
-120.125,34.125,240,16.98,19.05
-120.125,34.125,241,16.98,19.04
-120.125,34.125,242,16.98,19.03
-120.125,34.125,243,16.98,19.02
-120.125,34.125,244,16.99,19.01
-120.125,34.125,245,16.99,19
-120.125,34.125,246,16.99,18.99
-120.125,34.125,247,16.99,18.98
-120.125,34.125,248,17,18.97
-120.125,34.125,249,17,18.95
-120.125,34.125,250,17.01,18.95
-120.125,34.125,251,17.02,18.96
-120.125,34.125,252,17.03,18.97
-120.125,34.125,253,17.03,18.97
-120.125,34.125,254,17.04,18.97
-120.125,34.125,255,17.05,18.96
-120.125,34.125,256,17.06,18.96
-120.125,34.125,257,17.07,18.96
-120.125,34.125,258,17.08,18.96
-120.125,34.125,259,17.08,18.96
-120.125,34.125,260,17.09,18.96
-120.125,34.125,261,17.09,18.95
-120.125,34.125,262,17.09,18.94
-120.125,34.125,263,17.09,18.93
-120.125,34.125,264,17.09,18.92
-120.125,34.125,265,17.09,18.9
-120.125,34.125,266,17.08,18.88
-120.125,34.125,267,17.08,18.85
-120.125,34.125,268,17.07,18.83
-120.125,34.125,269,17.06,18.8
-120.125,34.125,270,17.06,18.77
-120.125,34.125,271,17.05,18.74
-120.125,34.125,272,17.04,18.71
