YEAR,MONTH,DATE,SBC_SITE,LOCATION,COUNT,ACTIVITY,NOTES
2007,12,12/11/2007,MOHK,MOHK,0,NA,NA
2008,1,1/2/2008,MOHK,MOHK,0,NA,NA
2008,1,1/2/2008,ABUR,ABUR,0,NA,NA
2008,1,1/3/2008,NAPL,NAPL,1,RAFTING,NA
2008,1,1/3/2008,AQUE,AQUE,0,NA,NA
2008,1,1/8/2008,ABUR,ABUR,0,NA,NA
2008,1,1/8/2008,MOHK,MOHK,0,NA,NA
2008,1,1/9/2008,IVEE,IVEE,1,RAFTING,NA
2008,1,1/10/2008,NAPL,NAPL,0,NA,NA
2008,1,1/11/2008,CARP,CARP,0,NA,NA
2008,1,1/15/2008,MOHK,MOHK,0,NA,NA
2008,1,1/17/2008,MOHK,MOHK,0,NA,NA
2008,1,1/30/2008,AQUE,AQUE,0,NA,NA
2008,1,1/31/2008,CARP,CARP,0,NA,NA
2008,1,1/31/2008,MOHK,MOHK,0,NA,NA
2008,2,2/1/2008,AQUE,AQUE,7,RAFTING,1 IN KELP BED; 6 ON OUTER EDGE OF KELP BED
2008,2,2/1/2008,NAPL,NAPL,0,NA,NA
2008,2,2/1/2008,IVEE,IVEE,0,NA,NA
2008,2,2/1/2008,GOLB,GOLB,0,NA,NA
2008,2,2/7/2008,MOHK,MOHK,0,NA,NA
2008,2,2/7/2008,ABUR,ABUR,0,NA,NA
2008,2,2/8/2008,MOHK,MOHK,0,NA,NA
2008,2,2/12/2008,CARP,CARP,0,NA,NA
2008,2,2/20/2008,MOHK,MOHK,0,NA,NA
2008,2,2/27/2008,MOHK,LEADBETTER,1,NA,OUTSIDE LEADBETTER KELP BED
2008,2,2/27/2008,MOHK,LEADBETTER,1,NA,OFFSHORE OF LEADBETTER
2008,3,3/4/2008,GOLB,GOLB,0,NA,NA
2008,3,3/4/2008,MOHK,MOHK,0,NA,NA
2008,3,3/4/2008,ABUR,ABUR,0,NA,NA
2008,3,3/5/2008,AQUE,AQUE,12,NA,EDGE OF KELP BED
2008,3,3/7/2008,AQUE,AQUE,12,NA,OUTSIDE EDGE OF KELP BED
2008,3,3/7/2008,AQUE,AQUE,0,NA,NA
2008,3,3/7/2008,IVEE,DEVEREAUX,1,NA,NA
2008,3,3/7/2008,NAPL,NAPL,0,NA,NA
2008,3,3/11/2008,CARP,CARP,0,NA,NA
2008,3,3/11/2008,MOHK,MOHK,0,NA,NA
2008,3,3/18/2008,MOHK,MOHK,0,NA,NA
2008,3,3/19/2008,MOHK,MOHK,0,NA,NA
2008,3,3/21/2008,MOHK,MOHK,0,NA,NA
2008,3,3/31/2008,BULL,BULL,0,NA,NA
2008,3,3/31/2008,AHND,AHND,0,NA,NA
2008,4,4/1/2008,AQUE,AQUE,11,NA,OUTER EDGE OF KELP BED
2008,4,4/1/2008,IVEE,DEVEREAUX,1,NA,NA
2008,4,4/2/2008,CARP,CARP,0,NA,NA
2008,4,4/3/2008,MOHK,MOHK,0,NA,NA
2008,4,4/3/2008,ABUR,ABUR,0,NA,NA
2008,4,4/7/2008,MOHK,MOHK,0,NA,NA
2008,4,4/9/2008,AQUE,AQUE,9,NA,NA
2008,4,4/9/2008,CARP,HORSESHOE REEF,1,NA,NA
2008,4,4/9/2008,IVEE,DEVEREAUX,20,NA,20+ SEEN
2008,4,4/11/2008,NAPL,NAPL,0,NA,NA
2008,4,4/11/2008,IVEE,IVEE,25,NA,NA
2008,4,4/14/2008,MOHK,MOHK,0,NA,NA
2008,4,4/15/2008,MOHK,MOHK,0,NA,NA
2008,4,4/17/2008,MOHK,MOHK,0,NA,NA
2008,4,4/22/2008,MOHK,MOHK,0,NA,NA
2008,4,4/24/2008,AQUE,AQUE,10,NA,10+
2008,4,4/24/2008,IVEE,IVEE,10,NA,10+
2008,4,4/24/2008,NAPL,NAPL,0,NA,NA
2008,5,5/1/2008,ABUR,ABUR,0,NA,NA
2008,5,5/1/2008,GOLB,MOORE MESA,1,NA,NA
2008,5,5/2/2008,AQUE,AQUE,5,NA,NA
2008,5,5/2/2008,IVEE,DEVEREAUX,1,NA,NA
2008,5,5/2/2008,IVEE,IVEE,42,NA,NA
2008,5,5/6/2008,SCTW,SCTW,0,NA,NA
2008,5,5/6/2008,SCDI,SCDI,0,NA,NA
2008,5,5/8/2008,CARP,CARP,0,NA,NA
2008,5,5/15/2008,MOHK,MOHK,0,NA,NA
2008,5,5/19/2008,IVEE,IVEE,5,NA,NA
2008,5,5/19/2008,NAPL,NAPL,0,NA,NA
2008,5,5/20/2008,CARP,CARP,0,NA,NA
2008,5,5/20/2008,MOHK,MOHK,0,NA,NA
2008,5,5/28/2008,AQUE,AQUE,0,NA,NA
2008,5,5/29/2008,MOHK,MOHK,0,NA,NA
2008,6,6/2/2008,MOHK,MOHK,0,NA,NA
2008,6,6/3/2008,AQUE,AQUE,0,NA,NA
2008,6,6/12/2008,ABUR,ABUR,0,NA,NA
2008,6,6/13/2008,MOHK,MOHK,0,NA,NA
2008,6,6/17/2008,MOHK,MOHK,0,NA,NA
2008,6,6/18/2008,ABUR,ABUR,0,NA,NA
2008,6,6/19/2008,IVEE,IVEE,3,NA,NA
2008,6,6/19/2008,NAPL,NAPL,0,NA,NA
2008,6,6/23/2008,CARP,CARP,0,NA,NA
2008,6,6/24/2008,AQUE,AQUE,0,NA,NA
2008,6,6/26/2008,MOHK,MOHK,0,NA,NA
2008,6,6/30/2008,MOHK,MOHK,0,NA,NA
2008,7,7/1/2008,MOHK,MOHK,0,NA,NA
2008,7,7/1/2008,AQUE,AQUE,0,NA,NA
2008,7,7/5/2008,CARP,CARP,0,NA,NA
2008,7,7/7/2008,MOHK,MOHK,0,NA,NA
2008,7,7/10/2008,MOHK,MOHK,0,NA,NA
2008,7,7/10/2008,ABUR,ABUR,0,NA,NA
2008,7,7/10/2008,ABUR,ABUR,0,NA,NA
2008,7,7/11/2008,NAPL,NAPL,0,NA,NA
2008,7,7/14/2008,AQUE,AQUE,0,NA,NA
2008,7,7/15/2008,CARP,CARP,0,NA,NA
2008,7,7/17/2008,MOHK,MOHK,0,NA,NA
2008,7,7/17/2008,CARP,CARP,0,NA,NA
2008,7,7/21/2008,IVEE,IVEE,0,NA,NA
2008,7,7/21/2008,NAPL,NAPL,0,NA,NA
2008,7,7/22/2008,IVEE,IVEE,0,NA,NA
2008,7,7/22/2008,GOLB,GOLB,0,NA,NA
2008,7,7/22/2008,GOLB,GOLB,0,NA,NA
2008,7,7/23/2008,AQUE,AQUE,0,NA,NA
2008,7,7/23/2008,AQUE,AQUE,0,NA,NA
2008,7,7/24/2008,CARP,CARP,0,NA,NA
2008,7,7/24/2008,CARP,CARP,0,NA,NA
2008,7,7/25/2008,CARP,CARP,0,NA,NA
2008,7,7/25/2008,CARP,CARP,0,NA,NA
2008,7,7/28/2008,NAPL,NAPL,2,FEEDING,NA
2008,7,7/28/2008,NAPL,NAPL,0,NA,NA
2008,7,7/29/2008,BULL,BULL,0,NA,NA
2008,7,7/29/2008,BULL,BULL,0,NA,NA
2008,7,7/29/2008,AHND,AHND,0,NA,NA
2008,7,7/30/2008,SCDI,SCDI,0,NA,NA
2008,7,7/30/2008,SCTW,SCTW,0,NA,NA
2008,7,7/31/2008,ABUR,ABUR,0,NA,NA
2008,7,7/31/2008,MOHK,MOHK,0,NA,NA
2008,8,8/1/2008,NAPL,NAPL,0,NA,NA
2008,8,8/1/2008,NAPL,NAPL,0,NA,NA
2008,8,8/7/2008,MOHK,MOHK,0,NA,NA
2008,8,8/7/2008,ABUR,ABUR,0,NA,NA
2008,8,8/8/2008,AQUE,AQUE,0,NA,NA
2008,8,8/11/2008,CARP,CARP,0,NA,NA
2008,8,8/12/2008,AQUE,AQUE,0,NA,NA
2008,8,8/13/2008,NAPL,NAPL,0,NA,NA
2008,8,8/13/2008,NAPL,NAPL,0,NA,NA
2008,8,8/14/2008,MOHK,MOHK,0,NA,NA
2008,8,8/18/2008,CARP,CARP,0,NA,NA
2008,8,8/19/2008,MOHK,MOHK,0,NA,NA
2008,8,8/20/2008,ABUR,ABUR,0,NA,NA
2008,8,8/20/2008,MOHK,MOHK,0,NA,NA
2008,8,8/28/2008,MOHK,MOHK,0,NA,NA
2008,9,9/3/2008,AQUE,AQUE,0,NA,NA
2008,9,9/4/2008,ABUR,ABUR,0,NA,NA
2008,9,9/4/2008,MOHK,MOHK,0,NA,NA
2008,9,9/9/2008,NAPL,NAPL,0,NA,NA
2008,9,9/9/2008,GOLB,GOLB,0,NA,NA
2008,9,9/11/2008,GOLB,GOLB,0,NA,NA
2008,9,9/11/2008,MOHK,MOHK,0,NA,NA
2008,9,9/15/2008,MOHK,MOHK,0,NA,NA
2008,9,9/22/2008,MOHK,MOHK,0,NA,NA
2008,9,9/23/2008,MOHK,MOHK,0,NA,NA
2008,9,9/26/2008,NAPL,NAPL,0,NA,NA
2008,9,9/29/2008,MOHK,MOHK,0,NA,NA
2008,10,10/1/2008,ABUR,ABUR,0,NA,NA
2008,10,10/2/2008,AQUE,AQUE,0,NA,NA
2008,10,10/10/2008,NAPL,NAPL,0,NA,NA
2008,10,10/16/2008,MOHK,MOHK,0,NA,NA
2008,10,10/22/2008,MOHK,MOHK,0,NA,NA
2008,10,10/24/2008,CARP,CARP,0,NA,NA
2008,10,10/28/2008,AQUE,AQUE,0,NA,NA
2008,10,10/29/2008,OTHER,PALOS VERDES,0,NA,NA
2008,11,11/6/2008,AQUE,AQUE,2,NA,1 AT AQUE; 1 AT TAJIGUAS
2008,11,11/6/2008,IVEE,DEVEREAUX,1,NA,NA
2008,11,11/7/2008,ABUR,ABUR,0,NA,NA
2008,11,11/7/2008,MOHK,MOHK,0,NA,NA
2008,11,11/12/2008,SCTW,SCTW,0,NA,NA
2008,11,11/14/2008,SCTW,SCTW,0,NA,NA
2008,11,11/18/2008,SCTW,FRY'S HARBOR,0,NA,NA
2008,11,11/23/2008,GOLB,GOLB,0,NA,NA
2008,11,11/24/2008,CARP,CARP,0,NA,NA
2008,11,11/24/2008,MOHK,S.B. HARBOR,4,NA,NA
2008,12,12/3/2008,MOHK,MOHK,0,NA,NA
2008,12,12/4/2008,AQUE,AQUE,0,NA,NA
2008,12,12/5/2008,ABUR,ABUR,0,NA,NA
2008,12,12/8/2008,NAPL,NAPL,0,NA,NA
2008,12,12/12/2008,MOHK,MOHK,0,NA,NA
2008,12,12/17/2008,CARP,CARP,0,NA,NA
2008,12,12/18/2008,AQUE,AQUE,0,NA,NA
2009,1,1/6/2009,ABUR,ABUR,0,NA,NA
2009,1,1/8/2009,NAPL,NAPL,0,NA,NA
2009,1,1/12/2009,MOHK,MOHK,0,NA,NA
2009,1,1/15/2009,AQUE,AQUE,0,NA,NA
2009,1,1/15/2009,IVEE,IVEE,0,NA,NA
2009,1,1/27/2009,IVEE,IVEE,2,FEEDING,NA
2009,1,1/27/2009,IVEE,IVEE,2,RAFTING,NA
2009,1,1/27/2009,NAPL,NAPL,0,NA,NA
2009,1,1/28/2009,MOHK,MOHK,0,NA,NA
2009,1,1/29/2009,AQUE,AQUE,0,NA,NA
2009,1,1/30/2009,CARP,CARP,0,NA,NA
2009,2,2/2/2009,AQUE,AQUE,0,NA,NA
2009,2,2/2/2009,AHND,AHND,0,NA,NA
2009,2,2/2/2009,BULL,BULL,0,NA,NA
2009,2,2/3/2009,ABUR,ABUR,0,NA,NA
2009,2,2/3/2009,MOHK,MOHK,0,NA,NA
2009,2,2/4/2009,MOHK,MOHK,0,NA,NA
2009,2,2/19/2009,CARP,CARP,0,NA,NA
2009,2,2/19/2009,MOHK,MOHK,0,NA,NA
2009,2,2/25/2009,GOLB,GOLB,0,NA,NA
2009,2,2/25/2009,MOHK,MOHK,0,NA,NA
2009,3,3/2/2009,MOHK,MOHK,0,NA,NA
2009,3,3/9/2009,ABUR,ABUR,0,NA,NA
2009,3,3/9/2009,MOHK,MOHK,0,NA,NA
2009,3,3/10/2009,AQUE,AQUE,0,NA,NA
2009,3,3/16/2009,MOHK,MOHK,0,NA,NA
