,time_start,time_end,duration
0,1988-07-01,1989-07-01,13
1,1996-03-01,1996-04-01,2
2,1996-06-01,1996-07-01,2
3,1998-06-01,1999-04-01,11
4,1999-10-01,1999-12-01,3
5,2000-02-01,2000-04-01,3
6,2000-09-01,2001-03-01,7
7,2006-03-01,2006-04-01,2
8,2007-11-01,2008-03-01,5
9,2008-08-01,2009-02-01,7
10,2010-07-01,2011-04-01,10
11,2011-09-01,2012-01-01,5
12,2013-05-01,2013-07-01,3
13,2017-09-01,2017-11-01,3
