lon,lat,event_no,date_start,date_peak,date_end,duration,intensity_mean,intensity_max,intensity_cumulative
-120.125,34.125,1,1982-11-16,1982-11-17,1982-11-22,7,1.896,2.07,13.27
-120.125,34.125,2,1983-01-12,1983-01-14,1983-03-03,51,1.956,2.76,99.78
-120.125,34.125,3,1983-03-08,1983-03-11,1983-03-14,7,1.913,2.44,13.39
-120.125,34.125,4,1983-04-28,1983-04-29,1983-05-02,5,1.516,1.75,7.58
-120.125,34.125,5,1983-06-19,1983-06-28,1983-07-01,13,1.736,2.29,22.57
-120.125,34.125,6,1983-08-07,1983-08-22,1983-08-24,18,3.102,3.53,55.84
-120.125,34.125,7,1983-09-17,1983-10-06,1983-10-12,26,3.169,3.85,82.39
-120.125,34.125,8,1983-10-17,1983-11-02,1983-11-20,35,2.468,3.65,86.38
-120.125,34.125,9,1984-01-04,1984-01-04,1984-01-10,7,1.456,1.69,10.19
-120.125,34.125,10,1984-01-20,1984-01-23,1984-01-24,5,1.328,1.52,6.64
-120.125,34.125,11,1984-01-31,1984-02-03,1984-02-16,17,1.619,2.12,27.52
-120.125,34.125,12,1984-03-10,1984-03-20,1984-03-23,14,1.858,2.73,26.01
-120.125,34.125,13,1984-05-21,1984-05-28,1984-06-02,13,2.95,3.77,38.35
-120.125,34.125,14,1984-06-24,1984-06-24,1984-06-28,5,1.678,1.8,8.39
-120.125,34.125,15,1984-07-16,1984-07-19,1984-07-21,6,3.022,3.65,18.13
-120.125,34.125,16,1984-08-15,1984-09-17,1984-09-20,37,3.397,4.77,125.7
-120.125,34.125,17,1984-09-26,1984-09-29,1984-09-30,5,2.738,3.26,13.69
-120.125,34.125,18,1986-11-27,1986-12-18,1986-12-31,35,1.732,2.34,60.62
-120.125,34.125,19,1987-04-24,1987-05-09,1987-05-10,17,1.725,2.58,29.32
-120.125,34.125,20,1987-05-16,1987-05-21,1987-05-24,9,2.458,2.72,22.12
-120.125,34.125,21,1987-10-21,1987-10-29,1987-10-30,10,1.852,2.24,18.52
-120.125,34.125,22,1988-04-05,1988-04-10,1988-04-15,11,1.734,2.48,19.08
-120.125,34.125,23,1989-12-24,1989-12-27,1989-12-30,7,1.564,1.7,10.95
-120.125,34.125,24,1990-04-19,1990-04-23,1990-04-24,6,1.577,1.89,9.46
-120.125,34.125,25,1990-05-04,1990-05-10,1990-05-11,8,1.955,2.14,15.64
-120.125,34.125,26,1992-02-25,1992-02-27,1992-03-01,6,1.705,1.9,10.23
-120.125,34.125,27,1992-03-07,1992-04-11,1992-04-21,46,2.214,3.05,101.85
-120.125,34.125,28,1992-04-26,1992-05-12,1992-05-17,22,2.059,3.39,45.29
-120.125,34.125,29,1992-05-23,1992-05-30,1992-06-09,18,2.198,2.84,39.57
-120.125,34.125,30,1992-10-23,1992-10-26,1992-10-27,5,1.63,1.7,8.15
-120.125,34.125,31,1992-11-12,1992-11-15,1992-11-18,7,1.931,2.35,13.52
-120.125,34.125,32,1993-05-25,1993-05-27,1993-06-01,8,2.015,2.3,16.12
-120.125,34.125,33,1993-06-25,1993-06-26,1993-06-29,5,2.29,3.54,11.45
-120.125,34.125,34,1993-07-05,1993-07-09,1993-08-05,32,2.599,3.09,83.17
-120.125,34.125,35,1993-11-03,1993-11-05,1993-11-11,9,1.642,1.81,14.78
-120.125,34.125,36,1994-08-16,1994-08-17,1994-08-20,5,2.606,2.87,13.03
-120.125,34.125,37,1995-02-26,1995-03-04,1995-03-05,8,1.418,1.49,11.34
-120.125,34.125,38,1997-05-28,1997-05-30,1997-06-04,8,2.249,2.53,17.99
-120.125,34.125,39,1997-08-10,1997-08-21,1997-08-26,17,2.443,2.99,41.54
-120.125,34.125,40,1997-08-30,1997-09-07,1997-09-10,12,3.086,3.77,37.03
-120.125,34.125,41,1997-09-18,1997-11-22,1998-02-21,157,2.336,3.52,366.76
-120.125,34.125,42,1998-03-18,1998-03-24,1998-03-27,10,1.928,2.24,19.28
-120.125,34.125,43,1998-07-16,1998-07-21,1998-07-27,12,2.205,2.58,26.46
-120.125,34.125,44,1998-08-11,1998-08-13,1998-08-16,6,2.462,2.66,14.77
-120.125,34.125,45,2001-05-26,2001-06-01,2001-06-03,9,2.101,2.6,18.91
-120.125,34.125,46,2004-09-06,2004-09-17,2004-09-18,13,2.418,3,31.43
-120.125,34.125,47,2005-01-20,2005-01-20,2005-01-24,5,1.308,1.35,6.54
-120.125,34.125,48,2005-03-03,2005-03-16,2005-03-17,15,1.665,1.98,24.98
-120.125,34.125,49,2006-07-22,2006-08-05,2006-08-12,22,2.764,3.82,60.8
-120.125,34.125,50,2009-06-06,2009-06-08,2009-06-12,7,1.717,1.81,12.02
-120.125,34.125,51,2012-09-28,2012-10-02,2012-10-05,8,2.146,2.54,17.17
-120.125,34.125,52,2012-10-16,2012-10-17,2012-10-23,8,1.829,2.41,14.63
-120.125,34.125,53,2013-06-07,2013-06-11,2013-06-13,7,1.937,2.42,13.56
-120.125,34.125,54,2013-07-01,2013-07-05,2013-07-06,6,1.773,2.32,10.64
-120.125,34.125,55,2014-01-15,2014-01-25,2014-01-29,15,1.292,1.59,19.38
-120.125,34.125,56,2014-03-13,2014-03-16,2014-03-17,5,1.674,1.87,8.37
-120.125,34.125,57,2014-06-09,2014-06-12,2014-06-15,7,2.229,2.8,15.6
-120.125,34.125,58,2014-06-24,2014-07-08,2014-07-23,30,2.787,3.91,83.62
-120.125,34.125,59,2014-09-07,2014-09-14,2014-09-17,11,2.666,3.61,29.32
-120.125,34.125,60,2014-10-02,2014-10-16,2015-03-31,181,2.431,4.28,439.97
-120.125,34.125,61,2015-04-30,2015-05-01,2015-05-04,5,1.704,1.81,8.52
-120.125,34.125,62,2015-06-10,2015-06-13,2015-06-14,5,1.778,1.89,8.89
-120.125,34.125,63,2015-07-17,2015-07-19,2015-08-02,17,2.666,3.43,45.32
-120.125,34.125,64,2015-08-23,2015-10-13,2015-11-15,85,3.639,5.49,309.28
-120.125,34.125,65,2015-11-27,2015-12-03,2015-12-23,27,2.402,3.06,64.85
-120.125,34.125,66,2016-02-12,2016-02-16,2016-03-07,25,1.771,2.43,44.27
-120.125,34.125,67,2016-03-14,2016-03-17,2016-03-22,9,1.85,2.68,16.65
-120.125,34.125,68,2016-04-17,2016-04-20,2016-04-23,7,2.076,2.58,14.53
-120.125,34.125,69,2016-05-05,2016-05-07,2016-05-10,6,1.902,2.2,11.41
-120.125,34.125,70,2016-07-28,2016-08-01,2016-08-03,7,2.506,2.85,17.54
-120.125,34.125,71,2017-10-14,2017-10-16,2017-10-18,5,2.012,2.49,10.06
-120.125,34.125,72,2018-01-06,2018-01-14,2018-01-18,13,1.481,1.78,19.25
-120.125,34.125,73,2018-07-01,2018-07-11,2018-07-14,14,2.151,2.95,30.11
-120.125,34.125,74,2018-07-19,2018-07-21,2018-07-23,5,2.456,2.96,12.28
-120.125,34.125,75,2018-08-10,2018-08-18,2018-08-29,20,3.232,3.94,64.63
-120.125,34.125,76,2018-09-30,2018-10-15,2018-10-22,23,1.879,2.37,43.21
-120.125,34.125,77,2018-11-02,2018-11-07,2018-11-29,28,2.143,2.67,59.99
-120.125,34.125,78,2018-12-20,2018-12-22,2018-12-26,7,1.819,2.3,12.73
-120.125,34.125,79,2019-01-23,2019-01-26,2019-01-29,7,1.681,1.93,11.77
-120.125,34.125,80,2019-04-29,2019-05-09,2019-05-14,16,1.831,2.48,29.29
-120.125,34.125,81,2019-06-19,2019-06-21,2019-06-26,8,1.876,2.12,15.01
-120.125,34.125,82,2019-09-12,2019-09-13,2019-09-16,5,2.822,3.38,14.11
