lon,lat,doy,seas,thresh
-119.875,34.125,1,14.18,15.39
-119.875,34.125,2,14.16,15.37
-119.875,34.125,3,14.14,15.34
-119.875,34.125,4,14.13,15.32
-119.875,34.125,5,14.11,15.29
-119.875,34.125,6,14.1,15.27
-119.875,34.125,7,14.09,15.25
-119.875,34.125,8,14.08,15.23
-119.875,34.125,9,14.07,15.21
-119.875,34.125,10,14.06,15.19
-119.875,34.125,11,14.05,15.18
-119.875,34.125,12,14.05,15.17
-119.875,34.125,13,14.04,15.15
-119.875,34.125,14,14.03,15.14
-119.875,34.125,15,14.02,15.13
-119.875,34.125,16,14.02,15.12
-119.875,34.125,17,14.01,15.11
-119.875,34.125,18,14.01,15.1
-119.875,34.125,19,14,15.1
-119.875,34.125,20,14,15.1
-119.875,34.125,21,14,15.1
-119.875,34.125,22,13.99,15.1
-119.875,34.125,23,13.99,15.09
-119.875,34.125,24,13.99,15.1
-119.875,34.125,25,13.99,15.1
-119.875,34.125,26,13.99,15.11
-119.875,34.125,27,13.99,15.11
-119.875,34.125,28,13.99,15.12
-119.875,34.125,29,13.98,15.12
-119.875,34.125,30,13.98,15.12
-119.875,34.125,31,13.98,15.12
-119.875,34.125,32,13.97,15.12
-119.875,34.125,33,13.97,15.12
-119.875,34.125,34,13.96,15.12
-119.875,34.125,35,13.96,15.11
-119.875,34.125,36,13.95,15.11
-119.875,34.125,37,13.95,15.11
-119.875,34.125,38,13.94,15.11
-119.875,34.125,39,13.93,15.11
-119.875,34.125,40,13.93,15.1
-119.875,34.125,41,13.92,15.1
-119.875,34.125,42,13.92,15.1
-119.875,34.125,43,13.91,15.1
-119.875,34.125,44,13.91,15.1
-119.875,34.125,45,13.9,15.1
-119.875,34.125,46,13.9,15.1
-119.875,34.125,47,13.89,15.1
-119.875,34.125,48,13.89,15.1
-119.875,34.125,49,13.88,15.1
-119.875,34.125,50,13.88,15.09
-119.875,34.125,51,13.87,15.09
-119.875,34.125,52,13.87,15.09
-119.875,34.125,53,13.86,15.1
-119.875,34.125,54,13.86,15.1
-119.875,34.125,55,13.85,15.1
-119.875,34.125,56,13.84,15.1
-119.875,34.125,57,13.84,15.1
-119.875,34.125,58,13.83,15.09
-119.875,34.125,59,13.82,15.1
-119.875,34.125,60,13.82,15.1
-119.875,34.125,61,13.81,15.1
-119.875,34.125,62,13.8,15.1
-119.875,34.125,63,13.8,15.1
-119.875,34.125,64,13.79,15.11
-119.875,34.125,65,13.78,15.11
-119.875,34.125,66,13.77,15.11
-119.875,34.125,67,13.76,15.11
-119.875,34.125,68,13.75,15.11
-119.875,34.125,69,13.74,15.1
-119.875,34.125,70,13.73,15.1
-119.875,34.125,71,13.73,15.09
-119.875,34.125,72,13.72,15.09
-119.875,34.125,73,13.71,15.08
-119.875,34.125,74,13.7,15.07
-119.875,34.125,75,13.69,15.06
-119.875,34.125,76,13.69,15.05
-119.875,34.125,77,13.68,15.04
-119.875,34.125,78,13.67,15.04
-119.875,34.125,79,13.66,15.03
-119.875,34.125,80,13.65,15.02
-119.875,34.125,81,13.64,15.01
-119.875,34.125,82,13.63,15
-119.875,34.125,83,13.62,14.99
-119.875,34.125,84,13.6,14.98
-119.875,34.125,85,13.59,14.96
-119.875,34.125,86,13.58,14.95
-119.875,34.125,87,13.56,14.93
-119.875,34.125,88,13.55,14.92
-119.875,34.125,89,13.54,14.89
